0,0,[4, 1, 1, 1, 4],[0, 3, 6, 9, 12] | 16300,31900,2.1168,0.0736139117287
0,0,[4, 1, 0, 1, 4],[0, 3, 6, 9, 12] | 15800,31900,2.0583,0.0736139117287
0,0,[4, 1, 5, 1, 4],[0, 3, 6, 9, 12] | 15300,30300,1.994,0.0736139117287
0,0,[4, 0, 4, 0, 4],[0, 3, 6, 9, 12] | 14200,25600,1.8492,0.0736139117287
0,0,[4, 0, 3, 0, 4],[0, 3, 6, 9, 12] | 14100,24700,1.82835,0.0736139117287
0,0,[4, 0, 1, 0, 4],[0, 3, 6, 9, 12] | 15400,30700,1.9998,0.0736139117287
0,0,[4, 0, 0, 0, 4],[0, 3, 6, 9, 12] | 14900,29700,1.9413,0.0736139117287
0,0,[4, 0, 5, 0, 4],[0, 3, 6, 9, 12] | 14400,26700,1.877,0.0736139117287
0,0,[4, 5, 1, 5, 4],[0, 3, 6, 9, 12] | 14300,28900,1.8712,0.0736139117287
0,0,[3, 1, 3, 1, 3],[0, 3, 6, 9, 12] | 14600,26700,1.90365,0.0736139117287
0,0,[3, 1, 2, 1, 3],[0, 3, 6, 9, 12] | 14500,25900,1.8828,0.0736139117287
0,0,[3, 1, 1, 1, 3],[0, 3, 6, 9, 12] | 16000,31900,2.0751,0.0736139117287
0,0,[3, 1, 0, 1, 3],[0, 3, 6, 9, 12] | 15500,31500,2.0166,0.0736139117287
0,0,[3, 1, 5, 1, 3],[0, 3, 6, 9, 12] | 15000,28700,1.9523,0.0736139117287
0,0,[3, 1, 4, 1, 3],[0, 3, 6, 9, 12] | 14800,27600,1.9245,0.0736139117287
0,0,[3, 0, 1, 0, 3],[0, 3, 6, 9, 12] | 15100,29100,1.9581,0.0736139117287
0,0,[3, 0, 0, 0, 3],[0, 3, 6, 9, 12] | 14600,27900,1.8996,0.0736139117287
0,0,[3, 0, 5, 0, 3],[0, 3, 6, 9, 12] | 14100,25000,1.8353,0.0736139117287
0,0,[2, 1, 2, 1, 2],[0, 3, 6, 9, 12] | 14200,24200,1.8411,0.0736139117287
0,0,[2, 1, 1, 1, 2],[0, 3, 6, 9, 12] | 15700,31900,2.0334,0.0736139117287
0,0,[2, 1, 0, 1, 2],[0, 3, 6, 9, 12] | 15200,29800,1.9749,0.0736139117287
0,0,[2, 1, 5, 1, 2],[0, 3, 6, 9, 12] | 14700,27000,1.9106,0.0736139117287
0,0,[2, 1, 4, 1, 2],[0, 3, 6, 9, 12] | 14500,25900,1.8828,0.0736139117287
0,0,[2, 1, 3, 1, 2],[0, 3, 6, 9, 12] | 14300,25100,1.86195,0.0736139117287
0,0,[2, 0, 1, 0, 2],[0, 3, 6, 9, 12] | 14800,27400,1.9164,0.0736139117287
0,0,[2, 0, 0, 0, 2],[0, 3, 6, 9, 12] | 14300,26200,1.8579,0.0736139117287
0,0,[1, 1, 1, 1, 1],[0, 3, 6, 9, 12] | 18700,31900,2.418,0.0736139117287
0,0,[1, 1, 0, 1, 1],[0, 3, 6, 9, 12] | 18200,31900,2.3595,0.0736139117287
0,0,[1, 1, 5, 1, 1],[0, 3, 6, 9, 12] | 17700,31900,2.2952,0.0736139117287
0,0,[1, 1, 4, 1, 1],[0, 3, 6, 9, 12] | 17500,31900,2.2674,0.0736139117287
0,0,[1, 1, 3, 1, 1],[0, 3, 6, 9, 12] | 17300,31900,2.24655,0.0736139117287
0,0,[1, 1, 2, 1, 1],[0, 3, 6, 9, 12] | 17200,31900,2.2257,0.0736139117287
0,0,[1, 0, 1, 0, 1],[0, 3, 6, 9, 12] | 17800,31900,2.301,0.0736139117287
0,0,[1, 0, 0, 0, 1],[0, 3, 6, 9, 12] | 17300,31900,2.2425,0.0736139117287
0,0,[1, 0, 5, 0, 1],[0, 3, 6, 9, 12] | 16800,31900,2.1782,0.0736139117287
0,0,[1, 0, 4, 0, 1],[0, 3, 6, 9, 12] | 16600,31900,2.1504,0.0736139117287
0,0,[1, 0, 3, 0, 1],[0, 3, 6, 9, 12] | 16400,31900,2.12955,0.0736139117287
0,0,[1, 0, 2, 0, 1],[0, 3, 6, 9, 12] | 16300,31900,2.1087,0.0736139117287
